date,day_of_week,day_of_week_name,week_number,week_name,month_number,month_name,year,quarter,quarter_name,date_text
2019-12-30,1,Monday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2019-12-30
2019-12-31,2,Tuesday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2019-12-31
2020-01-01,3,Wednesday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-01
2020-01-02,4,Thursday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-02
2020-01-03,5,Friday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-03
2020-01-04,6,Saturday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-04
2020-01-05,7,Sunday,1,30 Dec - 05 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-05
2020-01-06,1,Monday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-06
2020-01-07,2,Tuesday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-07
2020-01-08,3,Wednesday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-08
2020-01-09,4,Thursday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-09
2020-01-10,5,Friday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-10
2020-01-11,6,Saturday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-11
2020-01-12,7,Sunday,2,06 Jan - 12 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-12
2020-01-13,1,Monday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-13
2020-01-14,2,Tuesday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-14
2020-01-15,3,Wednesday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-15
2020-01-16,4,Thursday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-16
2020-01-17,5,Friday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-17
2020-01-18,6,Saturday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-18
2020-01-19,7,Sunday,3,13 Jan - 19 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-19
2020-01-20,1,Monday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-20
2020-01-21,2,Tuesday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-21
2020-01-22,3,Wednesday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-22
2020-01-23,4,Thursday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-23
2020-01-24,5,Friday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-24
2020-01-25,6,Saturday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-25
2020-01-26,7,Sunday,4,20 Jan - 26 Jan '20,1,Jan '20,2020,1,Q1 2020,2020-01-26
2020-01-27,1,Monday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-01-27
2020-01-28,2,Tuesday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-01-28
2020-01-29,3,Wednesday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-01-29
2020-01-30,4,Thursday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-01-30
2020-01-31,5,Friday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-01-31
2020-02-01,6,Saturday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-01
2020-02-02,7,Sunday,5,27 Jan - 02 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-02
2020-02-03,1,Monday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-03
2020-02-04,2,Tuesday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-04
2020-02-05,3,Wednesday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-05
2020-02-06,4,Thursday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-06
2020-02-07,5,Friday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-07
2020-02-08,6,Saturday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-08
2020-02-09,7,Sunday,6,03 Feb - 09 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-09
2020-02-10,1,Monday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-10
2020-02-11,2,Tuesday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-11
2020-02-12,3,Wednesday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-12
2020-02-13,4,Thursday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-13
2020-02-14,5,Friday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-14
2020-02-15,6,Saturday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-15
2020-02-16,7,Sunday,7,10 Feb - 16 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-16
2020-02-17,1,Monday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-17
2020-02-18,2,Tuesday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-18
2020-02-19,3,Wednesday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-19
2020-02-20,4,Thursday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-20
2020-02-21,5,Friday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-21
2020-02-22,6,Saturday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-22
2020-02-23,7,Sunday,8,17 Feb - 23 Feb '20,2,Feb '20,2020,1,Q1 2020,2020-02-23
2020-02-24,1,Monday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-02-24
2020-02-25,2,Tuesday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-02-25
2020-02-26,3,Wednesday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-02-26
2020-02-27,4,Thursday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-02-27
2020-02-28,5,Friday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-02-28
2020-02-29,6,Saturday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-02-29
2020-03-01,7,Sunday,9,24 Feb - 01 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-01
2020-03-02,1,Monday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-02
2020-03-03,2,Tuesday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-03
2020-03-04,3,Wednesday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-04
2020-03-05,4,Thursday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-05
2020-03-06,5,Friday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-06
2020-03-07,6,Saturday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-07
2020-03-08,7,Sunday,10,02 Mar - 08 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-08
2020-03-09,1,Monday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-09
2020-03-10,2,Tuesday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-10
2020-03-11,3,Wednesday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-11
2020-03-12,4,Thursday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-12
2020-03-13,5,Friday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-13
2020-03-14,6,Saturday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-14
2020-03-15,7,Sunday,11,09 Mar - 15 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-15
2020-03-16,1,Monday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-16
2020-03-17,2,Tuesday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-17
2020-03-18,3,Wednesday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-18
2020-03-19,4,Thursday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-19
2020-03-20,5,Friday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-20
2020-03-21,6,Saturday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-21
2020-03-22,7,Sunday,12,16 Mar - 22 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-22
2020-03-23,1,Monday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-23
2020-03-24,2,Tuesday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-24
2020-03-25,3,Wednesday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-25
2020-03-26,4,Thursday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-26
2020-03-27,5,Friday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-27
2020-03-28,6,Saturday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-28
2020-03-29,7,Sunday,13,23 Mar - 29 Mar '20,3,Mar '20,2020,1,Q1 2020,2020-03-29
2020-03-30,1,Monday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-03-30
2020-03-31,2,Tuesday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-03-31
2020-04-01,3,Wednesday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-01
2020-04-02,4,Thursday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-02
2020-04-03,5,Friday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-03
2020-04-04,6,Saturday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-04
2020-04-05,7,Sunday,14,30 Mar - 05 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-05
2020-04-06,1,Monday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-06
2020-04-07,2,Tuesday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-07
2020-04-08,3,Wednesday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-08
2020-04-09,4,Thursday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-09
2020-04-10,5,Friday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-10
2020-04-11,6,Saturday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-11
2020-04-12,7,Sunday,15,06 Apr - 12 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-12
2020-04-13,1,Monday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-13
2020-04-14,2,Tuesday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-14
2020-04-15,3,Wednesday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-15
2020-04-16,4,Thursday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-16
2020-04-17,5,Friday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-17
2020-04-18,6,Saturday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-18
2020-04-19,7,Sunday,16,13 Apr - 19 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-19
2020-04-20,1,Monday,17,20 Apr - 26 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-20
2020-04-21,2,Tuesday,17,20 Apr - 26 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-21
2020-04-22,3,Wednesday,17,20 Apr - 26 Apr '20,4,Apr '20,2020,2,Q2 2020,2020-04-22
