id,name,start_date,end_date,streak_count,extra,active
1,Inbox 0,2020-10-13,2020-10-13,1,194,True
2,Journal,2020-10-13,2020-10-13,1,0,False
3,Meditate,2020-10-13,2020-10-13,1,215,True
4,Plan,2020-10-14,2020-10-14,1,58,True
5,Journal,2020-11-16,2020-11-16,1,0,False
6,Read,2020-11-16,2020-11-17,2,0,False
7,Journal,2020-11-18,2020-11-30,8,0,False
8,Read,2020-11-24,2020-12-02,6,0,False
9,Code,2020-11-27,2020-11-27,1,118,True
10,Journal,2020-12-02,2020-12-02,1,0,False
11,Journal,2021-01-11,2021-01-13,3,0,False
12,Read,2021-01-11,2021-01-11,1,0,False
13,Read,2021-01-13,2021-01-13,1,0,False
14,Journal,2021-01-15,2021-01-15,1,0,False
15,Read,2021-01-17,2021-01-19,3,0,False
16,Journal,2021-01-18,2021-01-20,3,0,False
17,Journal,2021-01-22,2021-01-22,1,0,False
18,Read,2021-01-22,2021-01-22,1,0,False
19,Journal,2021-01-25,2021-01-25,1,0,False
20,Journal,2021-01-30,2021-01-30,1,0,False
21,Read,2021-01-31,2021-01-31,1,0,False
22,Journal,2021-02-01,2021-02-01,1,0,False
23,Journal,2021-05-10,2021-08-06,25,0,False
24,Up at 5,2021-05-10,2021-05-10,1,0,False
25,Read,2021-05-10,2021-05-10,1,0,False
26,Up at 5,2021-05-17,2021-06-07,2,0,False
27,Read,2021-06-08,2021-06-09,2,0,False
28,Trees Grown,2021-07-19,2021-07-19,1,253,True
29,Read,2021-07-19,2021-07-20,2,0,False
30,Down by 10,2021-07-19,2021-07-21,3,0,False
31,Up at 5,2021-07-20,2021-07-31,10,0,False
32,Read,2021-07-26,2021-07-29,4,0,False
33,Down by 10,2021-07-26,2021-07-28,3,0,False
34,Down by 10,2021-07-30,2021-07-30,1,0,False
35,Up at 5,2021-08-02,2021-08-06,5,0,False
36,Read,2021-08-02,2021-08-03,2,0,False
37,Down by 10,2021-08-02,2021-08-03,2,0,False
38,Journal,2021-08-09,2021-08-13,5,0,False
39,Up at 5,2021-08-09,2021-08-13,5,0,False
40,Read,2021-08-10,2021-08-10,1,0,False
41,Down by 10,2021-08-10,2021-08-12,3,0,False
42,Read,2021-08-15,2021-08-17,3,0,False
43,Down by 10,2021-08-15,2021-08-18,4,0,False
44,Journal,2021-08-16,2021-08-19,4,0,False
45,Up at 5,2021-08-16,2021-08-20,5,0,False
46,No Energy Drink,2021-08-16,2021-08-16,1,437,True
47,No Snacks,2021-08-17,2021-08-17,1,101,True
48,Read,2021-08-22,2021-08-22,1,0,False
49,Journal,2021-08-23,2021-09-03,12,0,False
50,Up at 5,2021-08-24,2021-08-25,2,0,False
51,Read,2021-08-24,2021-08-24,1,0,False
52,Down by 10,2021-08-24,2021-08-24,1,0,False
53,Read,2021-08-28,2021-08-28,1,0,False
54,Down by 10,2021-08-30,2021-08-31,2,0,False
55,Up at 5,2021-08-31,2021-09-03,4,0,False
56,Down by 10,2021-09-02,2021-09-02,1,0,False
57,Journal,2021-09-05,2021-09-06,2,0,False
58,Down by 10,2021-09-05,2021-09-05,1,0,False
